test_start,test_end,n_days,regime,regime_reversed_within,sharpe_gross,sharpe_moderate,carhart_alpha_daily,carhart_alpha_tstat,ic_mean,ic_tstat,max_drawdown,turnover,cumulative_return
2022-03-01,2023-03-01,252,flat,True,0.2085,0.1894,0.000290,0.1548,0.046401,3.3264,-0.4464,0.3466,-0.0382
2022-03-30,2023-03-30,252,flat,True,0.7111,0.6943,0.001696,0.7978,0.059735,4.4839,-0.4464,0.3402,0.2723
2022-04-29,2023-05-01,252,flat,True,0.8514,0.8350,0.002192,1.0007,0.059866,4.5739,-0.3721,0.3514,0.3880
2022-05-31,2023-05-31,252,flat,True,1.1347,1.1183,0.003381,1.5553,0.046974,3.7022,-0.3615,0.3657,0.6500
2022-06-30,2023-06-30,252,flat,True,2.2871,2.2680,0.004901,2.5009,0.041048,3.2744,-0.1879,0.3785,1.8931
2022-08-01,2023-08-01,252,flat,True,2.3646,2.3470,0.005237,2.3832,0.055352,4.7924,-0.1879,0.3857,2.2736
2022-08-30,2023-08-30,252,flat,True,2.2807,2.2631,0.004972,2.2077,0.060793,5.3487,-0.1891,0.3697,2.1247
2022-09-29,2023-09-29,252,flat,True,2.1231,2.1053,0.004407,1.9793,0.070615,6.3108,-0.2294,0.3618,1.8369
2022-10-28,2023-10-30,252,flat,True,1.9879,1.9698,0.004099,1.7944,0.064024,5.7025,-0.2744,0.3641,1.5865
2022-11-29,2023-11-29,252,flat,True,1.8703,1.8528,0.004053,1.7500,0.049110,4.3999,-0.3074,0.3546,1.4813
2022-12-29,2023-12-29,252,flat,True,1.7916,1.7746,0.003919,1.6532,0.028510,2.7338,-0.3074,0.3769,1.4214
2023-01-31,2024-01-31,252,flat,True,1.7661,1.7490,0.003785,1.6279,0.041455,4.0735,-0.3074,0.3769,1.3807
2023-03-02,2024-03-01,252,bull,True,1.9689,1.9526,0.004254,1.7478,0.023916,2.3381,-0.3074,0.3880,1.7948
2023-03-31,2024-04-02,252,bull,True,1.2270,1.2096,0.002446,1.0550,0.022050,2.1632,-0.3155,0.3873,0.7205
2023-05-02,2024-05-01,252,bull,True,1.2719,1.2545,0.002510,1.0994,0.011294,1.0414,-0.3623,0.3817,0.7622
2023-06-01,2024-05-31,252,bull,True,0.9024,0.8844,0.001734,0.7649,0.021848,2.0103,-0.3623,0.3801,0.4186
2023-07-03,2024-07-02,252,bull,True,0.9251,0.9072,0.001788,0.7963,0.027200,2.4025,-0.3623,0.3705,0.4377
2023-08-02,2024-08-01,252,bull,True,0.0505,0.0312,0.000040,0.0203,0.017406,1.4911,-0.3623,0.3841,-0.1022
2023-08-31,2024-08-30,252,bull,True,0.2173,0.1995,0.000449,0.2111,0.016989,1.4604,-0.3623,0.3833,-0.0334
2023-10-02,2024-10-01,252,bull,True,0.3756,0.3581,0.000503,0.2321,0.009335,0.7936,-0.3623,0.4016,0.0549
2023-10-31,2024-10-30,252,bull,True,0.4165,0.3996,0.000550,0.2525,-0.000035,-0.0029,-0.3623,0.4127,0.0765
2023-11-30,2024-11-29,252,bull,False,1.5209,1.5069,0.003562,1.3293,0.017641,1.4809,-0.3623,0.4247,1.3243
2024-01-02,2024-12-31,252,bull,False,2.5935,2.5818,0.008174,2.3256,0.028550,2.3047,-0.3623,0.4247,5.4973
2024-02-01,2025-02-03,252,bull,False,1.9907,1.9797,0.006503,1.7457,0.023007,1.8462,-0.3975,0.4207,3.0994
2024-03-04,2025-03-05,252,flat,False,1.8467,1.8356,0.006144,1.6561,0.037174,3.0434,-0.3975,0.4175,2.5848
2024-04-03,2025-04-03,252,flat,True,1.7750,1.7638,0.006031,1.6124,0.035163,2.8056,-0.4783,0.4064,2.3392
2024-05-02,2025-05-05,252,flat,True,1.8111,1.7998,0.005757,1.5493,0.024132,1.9786,-0.4993,0.4135,2.4106
2024-06-03,2025-06-04,252,flat,True,2.0040,1.9930,0.006666,1.7519,0.010199,0.8065,-0.4993,0.4000,3.1685
2024-07-03,2025-07-07,252,flat,True,1.8531,1.8422,0.006146,1.6044,-0.001298,-0.1081,-0.4993,0.4040,2.6518
2024-08-02,2025-08-05,252,flat,True,2.0817,2.0707,0.006886,1.7922,0.002371,0.2040,-0.4993,0.4016,3.4682
2024-09-03,2025-09-04,252,bull,True,2.0559,2.0446,0.006628,1.7842,-0.000611,-0.0542,-0.4993,0.4151,3.2599
2024-10-02,2025-10-03,252,bull,True,2.5334,2.5221,0.008206,2.2166,0.001971,0.1791,-0.4993,0.4247,5.4633
2024-10-31,2025-11-03,252,bull,True,2.5181,2.5070,0.008422,2.2329,0.009007,0.8010,-0.4993,0.4414,5.5326
2024-12-02,2025-12-03,252,bull,True,1.8623,1.8499,0.005344,1.6454,0.000883,0.0760,-0.4993,0.4279,2.2665
2025-01-02,2026-01-05,252,bull,True,0.8996,0.8842,0.001943,0.6977,-0.000626,-0.0533,-0.4938,0.4231,0.4470
2025-02-04,2026-02-04,252,bull,True,1.5517,1.5344,0.003544,1.4827,0.016098,1.3235,-0.4070,0.4438,1.0836
2025-03-06,2026-03-06,252,bull,True,1.3904,1.3736,0.003675,1.5359,0.006065,0.4791,-0.2612,0.4478,0.9182
2025-04-04,2026-04-07,252,bull,True,1.9529,1.9366,0.005577,2.2751,0.008783,0.7049,-0.2726,0.4550,1.7428
